date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:26	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://arpitjainds.github.io/images/icons/social/icon-pinterest.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/icon-pinterest.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:26	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ff310-247b%22	https://arpitjainds.github.io/images/icons/social/icon-rss.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/icon-rss.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:26	21619/21619	---M--	200	added ('OK')	image/png	etag:%2260b32473-5473%22	https://arpitjainds.github.io/images/icons/social/298822-512.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/298822-512.png	(from https://arpitjainds.github.io/css/main.css)
21:50:27	4954/4954	---M--	200	added ('OK')	image/png	etag:%2260b32473-135a%22	https://arpitjainds.github.io/images/icons/social/email.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/email.png	(from https://arpitjainds.github.io/css/main.css)
21:50:27	17805/17805	---M--	200	added ('OK')	image/png	etag:%2260b32473-458d%22	https://arpitjainds.github.io/images/icons/social/3721675-512.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/3721675-512.png	(from https://arpitjainds.github.io/css/main.css)
21:50:27	7375/7375	---M--	200	added ('OK')	image/png	etag:%2260b32473-1ccf%22	https://arpitjainds.github.io/images/icons/social/spotify.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/spotify.png	(from https://arpitjainds.github.io/css/main.css)
21:50:28	6920/6920	---M--	200	added ('OK')	image/png	etag:%2260b32473-1b08%22	https://arpitjainds.github.io/images/icons/social/youtube.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/youtube.png	(from https://arpitjainds.github.io/css/main.css)
21:50:28	506/506	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260b32473-1fa%22	https://arpitjainds.github.io/images/icons/birghtness.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/birghtness.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:28	3468/3468	---M--	200	added ('OK')	font/woff	etag:%2260b32472-d8c%22	https://arpitjainds.github.io/Fonts/share-buttons.woff	C:/My%20Web%20Sites/project1/arpitjainds.github.io/Fonts/share-buttons.woff	(from https://arpitjainds.github.io/css/main.css)
21:50:28	70684/70684	---M--	200	added ('OK')	image/png	etag:%2260b32473-1141c%22	https://arpitjainds.github.io/images/old/mask.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/old/mask.png	(from https://arpitjainds.github.io/css/main.css)
21:50:29	8418/8418	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260b32473-20e2%22	https://arpitjainds.github.io/js/modernizr.js	C:/My%20Web%20Sites/project1/arpitjainds.github.io/js/modernizr.js	(from https://arpitjainds.github.io/about.html)
21:50:29	653513/653513	---M--	200	added ('OK')	image/jpeg	etag:%2260b32473-9f8c9%22	https://arpitjainds.github.io/images/old/space9.jpg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/old/space9.jpg	(from https://arpitjainds.github.io/about.html)
21:50:29	1833/1833	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260b32473-729%22	https://arpitjainds.github.io/images/old/vinyl.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/old/vinyl.svg	(from https://arpitjainds.github.io/about.html)
21:50:30	24176/24176	---M--	200	added ('OK')	image/png	etag:%2260b32473-5e70%22	https://arpitjainds.github.io/images/namaste.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/namaste.png	(from https://arpitjainds.github.io/about.html)
21:50:31	7034/7034	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260b32473-1b7a%22	https://arpitjainds.github.io/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/project1/arpitjainds.github.io/js/imagesloaded.pkgd.min.js	(from https://arpitjainds.github.io/about.html)
21:50:31	9368/9368	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260b32473-2498%22	https://arpitjainds.github.io/js/anime.min.js	C:/My%20Web%20Sites/project1/arpitjainds.github.io/js/anime.min.js	(from https://arpitjainds.github.io/about.html)
21:50:31	19710/19710	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260b32473-4cfe%22	https://arpitjainds.github.io/js/mainformediapopup.js	C:/My%20Web%20Sites/project1/arpitjainds.github.io/js/mainformediapopup.js	(from https://arpitjainds.github.io/about.html)
21:50:32	32934/32934	---M--	200	added ('OK')	image/png	etag:%225fcb3abc-80a6%22	https://arpitjainds.github.io/art/img/ogPicture.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/art/img/ogPicture.png	(from https://arpitjainds.github.io/art/)
21:50:32	13086/13086	---M-Z	200	added ('OK')	text/css	etag:W/%225fcb3ac1-331e%22	https://arpitjainds.github.io/art/css/main.css	C:/My%20Web%20Sites/project1/arpitjainds.github.io/art/css/main.css	(from https://arpitjainds.github.io/art/)
